2012	ALTA VERAPAZ	CAHABÓN	J:00	Rinofaringitis aguda [resfriado común]	 3,794   	 14   	 10   	 25   	 28   	 315   	 325   	 704   	 683   	 258   	 232   	 138   	 103   	 100   	 42   	 123   	 36   	 114   	 35   	 87   	 37   	 84   	 31   	 34   	 15   	 34   	 13   	 23   	 14   	 15   	 11   	 17   	 12   	 17   	 6   	 44   	 15   
2012	ALTA VERAPAZ	CAHABÓN	K:29	Gastritis y duodenitis	 1,709   	 -     	 1   	 -     	 -     	 3   	 4   	 6   	 4   	 10   	 -     	 41   	 8   	 176   	 28   	 228   	 45   	 218   	 45   	 180   	 38   	 182   	 32   	 127   	 10   	 105   	 14   	 69   	 18   	 35   	 12   	 17   	 7   	 23   	 4   	 13   	 6   
2012	ALTA VERAPAZ	CAHABÓN	B:82	Parasitosis intestinales, sin otra especificación	 1,665   	 -     	 -     	 1   	 -     	 12   	 14   	 281   	 215   	 219   	 179   	 132   	 89   	 75   	 22   	 71   	 21   	 63   	 15   	 61   	 6   	 51   	 12   	 22   	 9   	 17   	 4   	 19   	 3   	 9   	 4   	 12   	 5   	 5   	 2   	 7   	 8   
2012	ALTA VERAPAZ	CAHABÓN	N:39	Otros trastornos del sistema urinario	 1,650   	 -     	 -     	 1   	 -     	 10   	 10   	 45   	 38   	 39   	 23   	 58   	 19   	 172   	 18   	 249   	 25   	 207   	 23   	 176   	 20   	 167   	 16   	 104   	 7   	 80   	 7   	 36   	 8   	 28   	 8   	 14   	 8   	 7   	 4   	 17   	 6   
2012	ALTA VERAPAZ	CAHABÓN	M:54	Dorsalgia	 1,447   	 -     	 -     	 -     	 -     	 1   	 -     	 1   	 1   	 3   	 2   	 18   	 7   	 94   	 9   	 129   	 22   	 148   	 24   	 135   	 29   	 157   	 27   	 128   	 16   	 125   	 18   	 82   	 26   	 79   	 31   	 37   	 15   	 28   	 7   	 30   	 18   
2012	ALTA VERAPAZ	CAHABÓN	A:06	Amebiasis	 1,341   	 -     	 -     	 -     	 1   	 37   	 27   	 202   	 198   	 138   	 115   	 98   	 52   	 79   	 21   	 70   	 28   	 62   	 16   	 40   	 10   	 41   	 11   	 14   	 3   	 15   	 3   	 12   	 -     	 9   	 6   	 9   	 2   	 3   	 6   	 6   	 7   
2012	ALTA VERAPAZ	CAHABÓN	J:03	Amigdalitis aguda	 1,262   	 -     	 -     	 3   	 1   	 39   	 36   	 164   	 170   	 107   	 88   	 72   	 55   	 73   	 34   	 63   	 29   	 50   	 16   	 53   	 18   	 62   	 23   	 16   	 7   	 12   	 9   	 18   	 4   	 11   	 3   	 5   	 2   	 6   	 2   	 10   	 1   
2012	ALTA VERAPAZ	CAHABÓN	L:01	Impétigo	 1,178   	 1   	 1   	 2   	 2   	 63   	 54   	 242   	 210   	 126   	 94   	 52   	 47   	 33   	 32   	 33   	 15   	 33   	 17   	 20   	 16   	 20   	 17   	 11   	 6   	 6   	 6   	 5   	 8   	 2   	 -     	 -     	 1   	 -     	 -     	 1   	 2   
2012	ALTA VERAPAZ	CAHABÓN	J:18	Neumonía, organismo no especificado	 1,069   	 3   	 9   	 -     	 12   	 108   	 168   	 217   	 264   	 51   	 51   	 18   	 10   	 6   	 7   	 10   	 6   	 13   	 1   	 10   	 2   	 10   	 2   	 6   	 1   	 6   	 4   	 12   	 1   	 10   	 3   	 5   	 3   	 11   	 2   	 18   	 9   
2012	ALTA VERAPAZ	CAHABÓN	D:64	Otras anemias	 1,066   	 -     	 -     	 -     	 -     	 5   	 4   	 34   	 26   	 79   	 43   	 81   	 44   	 104   	 23   	 126   	 11   	 83   	 11   	 85   	 6   	 64   	 9   	 52   	 15   	 32   	 3   	 24   	 4   	 21   	 6   	 18   	 4   	 13   	 5   	 20   	 11   
